task_id;project_id;task_name;description;active_ind;project_id_project_id
1;77763;open-source Intelligent;Walk deposit Washington;true;1
2;17396;blockchains;Baby bifurcated;true;2
3;28189;Frozen Central circuit;state Wisconsin withdrawal;true;3
4;90672;zero;Fresh Clothing copying;true;4
5;16189;backing Shilling Movies;Tasty Handmade Orchestrator;false;5
6;4490;sensor;TCP ADP Executive;true;6
7;97777;input;Valley Chips methodical;true;7
8;44274;withdrawal Concrete Florida;mission-critical copying;false;8
9;57522;Marino;York Frozen;true;9
10;17207;Bike enhance;GB Toys;true;10
