timesheet_id;period_starting_date;period_ending_date;notes;timesheet_status_id_timesheet_status_id;user_id_id
1;2022-10-20T11:47:51;2022-10-21T00:31:43;Underpass synthesize;1;1
2;2022-10-20T11:13:16;2022-10-20T14:08:30;facilitate;2;2
3;2022-10-21T03:50:10;2022-10-20T11:39:36;International Account;3;1
4;2022-10-21T03:04:38;2022-10-21T00:50:17;JSON attitude-oriented Response;4;2
5;2022-10-20T23:16:43;2022-10-20T21:56:06;methodologies;5;1
6;2022-10-21T01:34:30;2022-10-20T11:30:52;program generate;6;2
7;2022-10-20T04:57:17;2022-10-20T23:00:09;Panama Ergonomic Fall;7;1
8;2022-10-20T12:35:08;2022-10-21T03:49:49;initiatives People's Directives;8;1
9;2022-10-20T06:58:50;2022-10-20T20:12:29;AI Union;9;1
10;2022-10-20T07:41:40;2022-10-20T15:42:53;Account;10;2
