timesheet_details_id;task_id;timesheet_id;timeoff_type_id;workdate;hours;timesheet_id_timesheet_id
1;38701;67751;6976;2022-10-20T09:30:02;19905;1
2;68010;43970;87693;2022-10-20T10:18:23;52691;2
3;45199;67991;95429;2022-10-20T04:45:14;78933;3
4;79347;15123;51230;2022-10-21T00:18:03;85075;4
5;47684;39533;92127;2022-10-20T08:01:39;29378;5
6;51083;70466;96025;2022-10-21T03:12:15;65731;6
7;65135;83341;3752;2022-10-20T12:27:43;98677;7
8;81525;59023;66883;2022-10-20T19:12:36;10999;8
9;63185;74818;65480;2022-10-20T15:39:59;43703;9
10;63518;68946;76130;2022-10-21T03:52:41;63136;10
